#HEADER
#CHANTITLE
No:1091  Top PSD of stress
#TITLES
,No:1091  Top Frequency,No:1091  Top PSD of stress
#UNITS
,Hz,Pa^2/Hz
#KEYWORDS
,Frequency,PSD
#DATATYPES
Huge,Float,Float
#DATA
767,716.5,1.229E8
768,717.5,1.244E8
769,718.5,1.258E8
770,719.5,1.273E8
771,720.4,1.288E8
772,721.4,1.303E8
773,722.4,1.318E8
774,723.4,1.334E8
775,724.3,1.349E8
776,725.3,1.365E8
777,726.3,1.381E8
778,727.3,1.397E8
779,728.3,1.413E8
780,729.2,1.43E8
781,730.2,1.447E8
782,731.2,1.463E8
783,732.2,1.48E8
784,733.1,1.497E8
785,734.1,1.515E8
786,735.1,1.532E8
787,736.1,1.55E8
788,737,1.567E8
789,738,1.585E8
790,739,1.604E8
791,740,1.622E8
792,741,1.641E8
793,741.9,1.659E8
794,742.9,1.678E8
795,743.9,1.697E8
796,744.9,1.717E8
797,745.8,1.736E8
798,746.8,1.756E8
799,747.8,1.776E8
800,748.8,1.796E8
801,749.8,1.816E8
802,750.7,1.836E8
803,751.7,1.857E8
804,752.7,1.878E8
805,753.7,1.899E8
806,754.6,1.92E8
807,755.6,1.942E8
808,756.6,1.964E8
809,757.6,1.986E8
810,758.6,2.008E8
811,759.5,2.03E8
812,760.5,2.053E8
813,761.5,2.076E8
814,762.5,2.099E8
815,763.4,2.122E8
816,764.4,2.145E8
817,765.4,2.169E8
818,766.4,2.193E8
819,767.4,2.217E8
820,768.3,2.242E8
821,769.3,2.267E8
822,770.3,2.291E8
823,771.3,2.317E8
824,772.2,2.342E8
825,773.2,2.368E8
826,774.2,2.394E8
827,775.2,2.42E8
828,776.1,2.446E8
829,777.1,2.473E8
830,778.1,2.5E8
831,779.1,2.527E8
832,780.1,2.554E8
833,781,2.582E8
834,782,2.61E8
835,783,2.638E8
836,784,2.667E8
837,784.9,2.695E8
838,785.9,2.724E8
839,786.9,2.754E8
840,787.9,2.783E8
841,788.9,2.813E8
842,789.8,2.843E8
843,790.8,2.874E8
844,791.8,2.904E8
845,792.8,2.935E8
846,793.7,2.967E8
847,794.7,2.998E8
848,795.7,3.03E8
849,796.7,3.062E8
850,797.7,3.095E8
851,798.6,3.128E8
852,799.6,3.161E8
853,800.6,3.194E8
854,801.6,3.228E8
855,802.5,3.262E8
856,803.5,3.297E8
857,804.5,3.331E8
858,805.5,3.366E8
859,806.5,3.402E8
860,807.4,3.437E8
861,808.4,3.473E8
862,809.4,3.51E8
863,810.4,3.546E8
864,811.3,3.583E8
865,812.3,3.62E8
866,813.3,3.658E8
867,814.3,3.696E8
868,815.2,3.735E8
869,816.2,3.773E8
870,817.2,3.812E8
871,818.2,3.852E8
872,819.2,3.892E8
873,819.7,3.912E8
874,820.1,3.933E8
875,821.1,3.975E8
876,822.1,4.017E8
877,823.1,4.06E8
878,824,4.103E8
879,825,4.147E8
880,826,4.191E8
881,827,4.236E8
882,828,4.281E8
883,828.9,4.326E8
884,829.9,4.372E8
885,830.9,4.418E8
886,831.9,4.465E8
887,832.8,4.512E8
888,833.8,4.56E8
889,834.8,4.608E8
890,835.8,4.656E8
891,836.8,4.705E8
892,837.7,4.754E8
893,838.7,4.804E8
894,839.7,4.854E8
895,840.7,4.905E8
896,841.6,4.956E8
897,842.6,5.008E8
898,843.6,5.06E8
899,844.6,5.113E8
900,845.6,5.166E8
901,846.5,5.22E8
902,847.5,5.274E8
903,848.5,5.328E8
904,849.5,5.383E8
905,850.4,5.439E8
906,851.4,5.495E8
907,852.4,5.552E8
908,853.4,5.609E8
909,854.3,5.667E8
910,855.3,5.725E8
911,856.3,5.784E8
912,857.3,5.843E8
913,858.3,5.903E8
914,859.2,5.963E8
915,860.2,6.024E8
916,861.2,6.086E8
917,862.2,6.148E8
918,863.1,6.21E8
919,864.1,6.273E8
920,865.1,6.337E8
921,866.1,6.401E8
922,867.1,6.466E8
923,868,6.532E8
924,869,6.598E8
925,870,6.664E8
926,871,6.732E8
927,871.9,6.799E8
928,872.9,6.868E8
929,873.9,6.937E8
930,874.9,7.007E8
931,875.9,7.077E8
932,876.8,7.148E8
933,877.8,7.219E8
934,878.8,7.292E8
935,879.8,7.364E8
936,880.7,7.438E8
937,881.7,7.512E8
938,882.7,7.587E8
939,883.7,7.662E8
940,884.7,7.738E8
941,885.6,7.815E8
942,886.6,7.893E8
943,887.6,7.971E8
944,888.6,8.049E8
945,889.5,8.129E8
946,890.5,8.209E8
947,891.5,8.29E8
948,892.5,8.372E8
949,893.5,8.454E8
950,894.4,8.537E8
951,895.4,8.621E8
952,896.4,8.705E8
953,897.4,8.791E8
954,898.3,8.876E8
955,899.3,8.963E8
956,900.3,9.051E8
957,901.3,9.139E8
958,902.2,9.228E8
959,903.2,9.318E8
960,904.2,9.408E8
961,905.2,9.499E8
962,906.2,9.592E8
963,907.1,9.684E8
964,908.1,9.778E8
965,909.1,9.873E8
966,910.1,9.968E8
967,911,1.006E9
968,912,1.016E9
969,913,1.026E9
970,914,1.036E9
971,915,1.046E9
972,915.9,1.056E9
973,916.9,1.066E9
974,917.9,1.076E9
975,918.9,1.086E9
976,919.8,1.097E9
977,920.8,1.107E9
978,921.8,1.118E9
979,922.8,1.128E9
980,923.8,1.139E9
981,924.7,1.15E9
982,925.7,1.161E9
983,926.7,1.172E9
984,927.7,1.183E9
985,928.6,1.194E9
986,929.6,1.205E9
987,930.6,1.217E9
988,931.6,1.228E9
989,932.6,1.24E9
990,933.5,1.251E9
991,934.5,1.263E9
992,935.5,1.275E9
993,936.5,1.287E9
994,937.4,1.299E9
995,938.4,1.311E9
996,939.4,1.324E9
997,940.4,1.336E9
998,941.3,1.348E9
999,942.3,1.361E9
1000,943.3,1.374E9
1001,944.3,1.386E9
1002,945.3,1.399E9
1003,946.2,1.412E9
1004,947.2,1.425E9
1005,948.2,1.439E9
1006,949.2,1.452E9
1007,950.1,1.465E9
1008,951.1,1.479E9
1009,952.1,1.492E9
1010,953.1,1.506E9
1011,954.1,1.52E9
1012,955,1.534E9
1013,956,1.548E9
1014,957,1.562E9
1015,958,1.577E9
1016,958.9,1.591E9
1017,959.9,1.606E9
1018,960.9,1.62E9
1019,961.9,1.635E9
1020,962.9,1.65E9
1021,963.8,1.665E9
1022,964.8,1.68E9
1023,965.8,1.695E9
1024,966.8,1.711E9
1025,967.7,1.726E9
1026,968.7,1.742E9
1027,969.7,1.758E9
1028,970.7,1.774E9
1029,971.7,1.79E9
1030,972.6,1.806E9
1031,973.6,1.822E9
1032,974.6,1.839E9
1033,975.6,1.855E9
1034,976.5,1.872E9
1035,977.5,1.889E9
1036,978.5,1.906E9
1037,979.5,1.923E9
1038,980.4,1.94E9
1039,981.4,1.957E9
1040,982.4,1.975E9
1041,983.4,1.992E9
1042,984.4,2.01E9
1043,985.3,2.028E9
1044,986.3,2.046E9
1045,987.3,2.064E9
1046,988.3,2.083E9
1047,989.2,2.101E9
1048,990.2,2.12E9
1049,991.2,2.139E9
1050,992.2,2.158E9
1051,993.2,2.177E9
1052,994.1,2.196E9
1053,995.1,2.215E9
1054,996.1,2.235E9
1055,997.1,2.254E9
1056,998,2.274E9
1057,999,2.294E9
1058,1000,2.314E9
